Word,Freq
chatty,8
precaution,78
bringing,285
recurred,30
extremity,84
enquire,91
admire,143
beauty,740
ask,1584
questions,493
hung,500
held,1380
wondered,272
shy,67
formal,75
party,726
resembled,73
body,1751
differed,28
debating,25
securing,66
dining,199
passed,2125
near,2123
screened,21
projection,15
hill,813
middletons,19
hospitality,89
gratification,62
dissimilar,15
outward,117
strongly,212
total,130
talent,101
unconnected,7
compass,201
sportsman,12
hunted,134
shot,624
resources,89
spoil,236
round,2732
continual,129
engagements,52
abroad,307
supplied,174
deficiencies,23
supported,157
exercise,258
breeding,46
piqued,27
table,1545
arrangements,157
vanity,248
delighted,259
collecting,51
hold,1365
noisier,2
juvenile,19
summer,576
forming,124
eat,1497
ham,74
chicken,185
doors,426
winter,514
balls,81
unsatiable,5
appetite,147
charmed,33
inhabitants,464
procured,80
pretty,1177
unaffected,19
captivating,11
friendliness,22
past,1230
unfortunate,272
showing,238
settling,59
females,51
esteems,2
sex,139
sportsmen,14
desirous,88
encouraging,82
manor,21
met,1441
door,3496
welcomed,55
unable,473
smart,237
friend,2731
gay,223
smallness,12
families,393
morning,3033
hopes,411
procuring,25
moonlight,109
luckily,70
dull,275
entire,295
strangers,295
jennings,246
merry,286
fat,425
elderly,84
vulgar,142
jokes,63
laughter,291
dinner,877
witty,50
lovers,137
husbands,73
hearts,489
pretended,164
blush,90
attacks,84
pain,577
raillery,14
colonel,671
brandon,146
adapted,87
absolute,222
bachelor,96
wrong,772
thirty,882
gentlemanlike,2
recommend,79
companions,515
insipidity,12
repulsive,48
gravity,135
boisterous,38
mirth,104
roused,114
noisy,65
pulled,459
tore,163
clothes,780
put,4737
discovered,655
musical,96
play,822
instrument,156
unlocked,60
prepared,635
sang,134
went,6760
chief,1286
songs,130
lain,54
position,1021
celebrated,171
event,342
played,356
extremely,404
applauded,33
loud,546
song,448
lasted,125
order,1630
diverted,42
asked,3498
sing,436
finished,516
raptures,22
compliment,142
forfeited,23
shameless,28
amounted,48
ecstatic,13
sympathize,26
estimable,12
contrasted,34
horrible,281
insensibility,28
outlived,11
acuteness,22
exquisite,133
humanity,201
ample,154
jointure,5
respectably,11
promotion,34
zealously,10
active,206
ability,158
missed,239
projecting,48
weddings,8
among,3471
remarkably,131
quick,649
discovery,357
attachments,12
enjoyed,285
raising,182
blushes,15
discernment,24
decisively,16
suspected,201
listening,262
attentively,41
ascertained,67
connection,282
inconsiderable,27
endless,155
laughed,718
probably,664
regarded,303
indifferent,122
incomprehensible,59
laugh,544
absurdity,54
censure,55
impertinence,35
forlorn,90
ancient,385
youthful,76
ventured,200
clear,1206
throw,410
ridicule,89
accusation,41
intentionally,10
natured,116
sensation,177
ridiculous,163
safe,708
wit,324
infirmity,37
protect,140
infirm,21
deceive,135
limbs,238
complain,110
rheumatism,12
commonest,17
declining,58
rate,479
terror,387
seem,904
miracle,66
apprehensive,28
losing,141
matrimony,30
chance,1147
marrying,99
pausing,56
inspire,51
uncomfortable,140
bring,1889
submit,124
nurse,161
security,135
unsuitable,13
convenience,96
commercial,132
exchange,148
benefited,18
convince,108
dooming,2
confinement,52
yesterday,376
damp,133
slight,408
rheumatic,5
shoulders,483
flannel,31
waistcoats,8
waistcoat,124
invariably,93
aches,19
cramps,4
rheumatisms,1
species,416
ailment,4
afflict,48
feeble,197
fever,199
despised,147
confess,370
flushed,144
cheek,242
hollow,322
eye,1445
pulse,62
leaving,693
alarm,313
conceal,196
fortnight,131
indisposition,36
extraordinary,429
else,1285
detain,62
anxiety,383
recollecting,20
showed,633
readiness,90
accepting,62
mentioned,433
grate,54
bedchamber,23
observed,818
hurry,337
meaning,449
unaccountable,65
composed,181
languid,56
farewell,201
distinction,140
purposely,63
unaccountably,13
follow,742
cried,2496
self,967
invariable,21
dejected,38
try,1045
restless,113
tolerable,53
familiar,423
pursuits,39
charms,121
habit,365
occupation,127
amazement,151
finding,584
employed,329
urgent,85
mix,237
assurances,40
resolute,82
classed,18
attainable,13
allenham,18
issued,120
earliest,104
walks,115
mansion,94
reminding,21
learnt,112
enquiry,20
possessor,33
unfortunately,199
stirred,188
abounded,27
seek,733
air,2216
summits,42
alternative,63
dirt,99
valleys,110
beneath,751
shut,581
beauties,73
memorable,69
steps,669
partial,62
sunshine,164
showery,4
sky,624
bear,1300
rain,502
preceding,85
occasioned,96
tempting,40
pencil,110
book,1481
lastingly,2
threatening,106
cloud,442
gaily,52
ascended,128
rejoicing,102
glimpse,190
blue,884
caught,1089
faces,450
animating,7
gales,46
south,945
westerly,12
wind,1261
pitied,54
fears,276
prevented,128
sharing,40
sensations,78
pursued,258
resisting,24
suddenly,1238
clouds,427
heads,652
chagrined,21
surprised,520
obliged,621
unwillingly,16
back,5488
shelter,209
exigence,3
usual,775
running,721
speed,740
steep,136
FALSE,400
step,714
ground,1757
stop,752
involuntarily,68
hurried,432
bottom,460
safety,385
carrying,492
gun,464
pointers,1
playing,322
passing,634
yards,263
accident,358
ran,1262
raised,815
foot,1132
twisted,135
fall,1132
perceiving,106
modesty,57
declined,140
arms,1237
whither,241
seated,440
chair,997
parlour,105
fixed,533
secret,910
sprung,92
apologized,21
intrusion,46
relating,64
frank,912
additional,96
ugly,195
influence,523
youth,704
action,508
came,8634
thanked,173
dirty,194
wet,231
willoughby,217
honour,749
tomorrow,184
granted,235
departed,502
midst,835
heavy,1020
manly,89
gracefulness,5
theme,58
gallantry,55
exterior,51
confusion,276
crimsoned,5
lifting,142
robbed,118
regarding,115
entering,275
join,356
energy,333
adorned,112
hero,442
story,1260
previous,266
formality,28
rapidity,82
dresses,60
shooting,116
jacket,99
becoming,209
sprained,4
ankle,29
interval,81
allowed,623
eagerly,244
news,759
ride,379
thursday,61
sort,1313
fellow,1454
decent,98
bolder,26
rider,99
england,887
indignantly,51
intimate,178
talents,199
puzzled,168
soul,1685
got,4036
nicest,13
black,1664
bitch,6
pointer,10
today,200
colour,404
describe,239
shades,86
resided,73
visiting,126
inherit,108
adding,72
catching,189
somersetshire,8
tumbling,54
jealous,169
care,1487
incommoded,7
attempts,137
employment,140
glad,1068
ineligible,3
christmas,285
hop,25
danced,121
eight,943
o,5026
clock,1212
sparkling,89
covert,28
fatigue,99
aye,154
setting,269
cap,282
dislike,106
abhor,32
phrase,147
making,1392
conquest,82
odious,45
tendency,89
gross,70
illiberal,5
construction,128
deemed,91
ago,971
ingenuity,80
reproof,61
heartily,192
ay,116
conquests,14
smitten,111
spraining,1
ankles,38
preserver,10
precision,68
styled,19
personal,482
enquiries,10
prompted,63
during,1907
second,1752
interview,251
complexion,120
features,403
handsomer,13
height,519
lovely,354
cant,14
violently,116
outraged,15
usually,316
happens,153
skin,421
brown,984
transparency,19
brilliant,260
sweet,879
attractive,112
dark,1491
embarrassment,85
remembrance,186
perfect,684
vivacity,61
declare,321
dancing,199
passionately,58
largest,156
amusement,173
talk,1221
discussion,154
conformity,18
further,869
examination,221
authors,121
dwelt,425
convert,42
works,817
passages,107
idolized,4
force,964
arguments,123
brightness,93
displayed,107
acquiesced,22
decisions,11
enthusiasm,205
conversed,45
familiarity,52
importance,371
thinks,234
scott,102
admiring,70
pope,103
despatch,71
exhausted,190
topic,78
meeting,670
suffice,69
picturesque,119
scanty,71
erred,42
notion,213
decorum,30
sincere,117
deceitful,37
roads,165
spoken,870
reproach,248
spared,122
jest,236
scold,54
check,147
softened,78
proof,389
reception,188
recovery,77
irksome,14
joined,395
ardour,34
example,403
gradually,274
estimation,54
faultless,16
propensity,15
peculiarly,54
saying,2900
persons,510
sacrificing,35
undivided,14
slighting,4
forms,298
worldly,66
caution,123
